"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","443","Проверка логина в систему с пустым полем пароль","Sauce Demo Smoke Test","Fri Sep 26 10:11:50 UTC 2025","passed","Fri Sep 26 10:11:51 UTC 2025","tests.LoginTest","Chrome","tests.LoginTest","checkLoginWithEmptyPassword"
"","671","checkLoginWithPositiveCred","Sauce Demo Smoke Test","Fri Sep 26 10:11:51 UTC 2025","passed","Fri Sep 26 10:11:52 UTC 2025","tests.LoginTest","Chrome","tests.LoginTest","checkLoginWithPositiveCred"
"","413","test","Sauce Demo Smoke Test","Fri Sep 26 10:11:48 UTC 2025","passed","Fri Sep 26 10:11:49 UTC 2025","tests.LoginTest","Chrome","tests.LoginTest","test"
"","415","checkLoginWithEmptyUsername","Sauce Demo Smoke Test","Fri Sep 26 10:11:52 UTC 2025","passed","Fri Sep 26 10:11:52 UTC 2025","tests.LoginTest","Chrome","tests.LoginTest","checkLoginWithEmptyUsername"
"","1911","test","Sauce Demo Smoke Test","Fri Sep 26 10:11:45 UTC 2025","passed","Fri Sep 26 10:11:47 UTC 2025","tests.LoginTest","Chrome","tests.LoginTest","test"
"","627","checkSort","Sauce Demo Smoke Test","Fri Sep 26 10:12:20 UTC 2025","passed","Fri Sep 26 10:12:21 UTC 2025","tests.ProductsTest","Firefox","tests.ProductsTest","checkSort"
"","3437","checkCheckoutButton","Sauce Demo Smoke Test","Fri Sep 26 10:12:15 UTC 2025","passed","Fri Sep 26 10:12:18 UTC 2025","tests.CartTest","Firefox","tests.CartTest","checkCheckoutButton"
"","458","test","Sauce Demo Smoke Test","Fri Sep 26 10:11:48 UTC 2025","passed","Fri Sep 26 10:11:48 UTC 2025","tests.LoginTest","Chrome","tests.LoginTest","test"
"","432","checkLoginWithWrongPassword","Sauce Demo Smoke Test","Fri Sep 26 10:11:49 UTC 2025","passed","Fri Sep 26 10:11:50 UTC 2025","tests.LoginTest","Chrome","tests.LoginTest","checkLoginWithWrongPassword"
"","645","checkAddToCart","Sauce Demo Smoke Test","Fri Sep 26 10:12:19 UTC 2025","passed","Fri Sep 26 10:12:19 UTC 2025","tests.ProductsTest","Firefox","tests.ProductsTest","checkAddToCart"
